time,source,url,status,path,note
2026-05-27T11:43:13,Data.gov.in Soil Health Card OC,https://www.data.gov.in/system/files/2023-01/RS_Session_257_AU_2256_1.csv,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\raw_downloads\datagov_attempt_9.csv,candidate API/file route; bytes=935139; type=text/html; charset=utf-8; final=https://www.data.gov.in/page_not_found
2026-05-27T11:43:13,Data.gov.in Soil Health Card OC,https://www.data.gov.in\u002Fsystem\u002Ffiles\u002F2023-01\u002FRS_Session_257_AU_2256_1.csv,failed,,candidate API/file route; UnicodeError: label empty or too long
2026-05-27T11:43:13,Data.gov.in Soil Health Card OC,https:\u002F\u002Fwww.data.gov.in\u002Ffiles\u002Fogdpv2dms\u002Fs3fs-public\u002FRS_Session_257_AU_2256_1.csv,url_error,,candidate API/file route; <urlopen error no host given>
2026-05-27T11:43:34,NGDR,https://geodataindia.gov.in/,url_error,,"portal metadata; <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
2026-05-27T11:43:57,GSI Bhukosh public,https://bhukosh.gsi.gov.in/Bhukosh/Public,url_error,,"portal metadata; <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
2026-05-27T11:43:58,GSI Bhukosh data.gov catalog,https://www.data.gov.in/catalog/bhukosh,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\metadata\gsi_bhukosh_data_gov_catalog.html,portal metadata; bytes=959959; type=text/html; charset=utf-8; final=https://www.data.gov.in/catalog/bhukosh
2026-05-27T11:44:27,ISRO Bhuvan open data,https://bhuvan-app3.nrsc.gov.in/data/download/index.php,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\metadata\isro_bhuvan_open_data.html,portal metadata; bytes=12483; type=text/html; charset=UTF-8; final=https://bhuvan-app3.nrsc.gov.in/data/download/index.php
2026-05-27T11:44:29,ISRO EO services,https://www.isro.gov.in/ISRO_EN/SpaceBasedEarthObservationServices.html,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\metadata\isro_eo_services.html,portal metadata; bytes=246249; type=text/html; charset=UTF-8; final=https://www.isro.gov.in/ISRO_EN/SpaceBasedEarthObservationServices.html
2026-05-27T11:44:30,SLUSI,https://slusi.da.gov.in/,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\metadata\slusi.html,portal metadata; bytes=57547; type=; final=https://slusi.da.gov.in/
2026-05-27T11:44:33,CRRI,https://crridom.gov.in/,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Redownload_2026-05-27\metadata\crri.html,portal metadata; bytes=138747; type=text/html; charset=utf-8; final=https://crridom.gov.in/hi
