record_id,orig_no,soil_location,sand_pct,silt_pct,clay_pct,soil_gs,ll_pct,pl_pct,pi_pct,d50_um,uscs_astm,omc_untreated_raw,omc_untreated_pct,mdd_untreated_kgm3,qc_flag_omc_fraction_to_pct,bio_xg,bio_ch,bio_gg,bio_lg,bio_sls,bio_els,add_ppf,add_rha,add_li,add_swf,add_cw,add_hl,add_fa,add_nl_ns,add_cem,add_pf,add_rc,add_ggbfs,add_gp,additive1_name_raw,additive1_specific_gravity,additive1_dosage_pct,additive2_name_raw,additive2_specific_gravity,palm_fiber_length_mm,additive2_dosage_pct,mixture_gs,mixture_rho_b_kgm3_value,mixture_rho_b_kgm3_uncert,mixture_rho_b_kgm3_uncert_type,mixture_rho_d_kgm3_value,mixture_rho_d_kgm3_uncert,mixture_rho_d_kgm3_uncert_type,mixture_w_pct_value,mixture_w_pct_uncert,mixture_w_pct_uncert_type,mdd_treated_kgm3,omc_treated_pct,ucs_kpa,curing_days,curing_inferred,curing_notes,source_ref_raw,source_doi,study_id
11,11,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,0.0,Fly ash,,,0.0,,,,,,,,,,,1783.0,11.48,83.15,0,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
12,12,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,0.0,Fly ash,,,0.0,,,,,,,,,,,1783.0,11.48,103.18,3,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
13,13,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,0.0,Fly ash,,,0.0,,,,,,,,,,,1783.0,11.48,118.083,7,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
14,14,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,0.0,Fly ash,,,0.0,,,,,,,,,,,1783.0,11.48,158.517,28,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
15,15,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,0.5,Fly ash,,,5.0,,,,,,,,,,,1718.0,12.69,95.2,0,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
16,16,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,0.5,Fly ash,,,5.0,,,,,,,,,,,1718.0,12.69,142.012,3,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
17,17,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,0.5,Fly ash,,,5.0,,,,,,,,,,,1718.0,12.69,195.2,7,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
18,18,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,0.5,Fly ash,,,5.0,,,,,,,,,,,1718.0,12.69,246.279,28,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
19,19,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,1.0,Fly ash,,,5.0,,,,,,,,,,,1698.0,13.18,130.84,0,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
20,20,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,1.0,Fly ash,,,5.0,,,,,,,,,,,1698.0,13.18,161.68,3,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
21,21,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,1.0,Fly ash,,,5.0,,,,,,,,,,,1698.0,13.18,222.34,7,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
22,22,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,1.0,Fly ash,,,5.0,,,,,,,,,,,1698.0,13.18,264.898,28,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
23,23,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,1.5,Fly ash,,,5.0,,,,,,,,,,,1640.0,14.52,137.77,0,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
24,24,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,1.5,Fly ash,,,5.0,,,,,,,,,,,1640.0,14.52,167.55,3,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
25,25,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,1.5,Fly ash,,,5.0,,,,,,,,,,,1640.0,14.52,226.04,7,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
26,26,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,1.5,Fly ash,,,5.0,,,,,,,,,,,1640.0,14.52,311.1681,28,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
27,27,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,2.0,Fly ash,,,5.0,,,,,,,,,,,1586.0,15.4,161.7,0,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
28,28,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,2.0,Fly ash,,,5.0,,,,,,,,,,,1586.0,15.4,205.309,3,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
29,29,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,2.0,Fly ash,,,5.0,,,,,,,,,,,1586.0,15.4,247.87,7,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
30,30,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,2.0,Fly ash,,,5.0,,,,,,,,,,,1586.0,15.4,354.26,28,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
31,31,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,2.5,Fly ash,,,5.0,,,,,,,,,,,1613.0,14.76,150.52,0,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
32,32,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,2.5,Fly ash,,,5.0,,,,,,,,,,,1613.0,14.76,172.86,3,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
33,33,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,2.5,Fly ash,,,5.0,,,,,,,,,,,1613.0,14.76,220.742,7,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
34,34,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,2.69,22.8,,,360.0,,11.48,11.48,1783.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Guar gum,,2.5,Fly ash,,,5.0,,,,,,,,,,,1613.0,14.76,320.753,28,0,,https://doi.org/10.1007/978-981-96-1373-1_21,10.1007/978-981-96-1373-1_21,S01
35,35,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.0,Hydrated Lime,2.1,,0.0,,,,,,,,,,,,,302.3,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
36,36,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.25,Hydrated Lime,2.1,,0.0,,,,,,,,,,,,,353.6,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
37,37,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.5,Hydrated Lime,2.1,,0.0,,,,,,,,,,,,,395.2,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
38,38,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.0,Hydrated Lime,2.1,,0.0,,,,,,,,,,,,,451.2,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
39,39,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.5,Hydrated Lime,2.1,,0.0,,,,,,,,,,,,,534.307,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
40,40,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.5,Hydrated Lime,2.1,,0.0,,,,,,,,,,,,,637.594,365,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
41,41,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,2.0,Hydrated Lime,2.1,,0.0,,,,,,,,,,,,,378.4,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
42,42,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.0,Hydrated Lime,2.1,,3.0,,,,,,,,,,,,,669.59,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
43,43,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.25,Hydrated Lime,2.1,,3.0,,,,,,,,,,,,,479.336,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
44,44,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.5,Hydrated Lime,2.1,,3.0,,,,,,,,,,,,,507.336,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
45,45,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.0,Hydrated Lime,2.1,,3.0,,,,,,,,,,,,,582.676,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
46,46,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.5,Hydrated Lime,2.1,,3.0,,,,,,,,,,,,,917.037,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
47,47,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.5,Hydrated Lime,2.1,,3.0,,,,,,,,,,,,,1084.381,365,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
48,48,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,2.0,Hydrated Lime,2.1,,3.0,,,,,,,,,,,,,474.476,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
49,49,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.0,Hydrated Lime,2.1,,6.0,,,,,,,,,,,,,825.038,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
50,50,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.25,Hydrated Lime,2.1,,6.0,,,,,,,,,,,,,737.867,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
51,51,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.5,Hydrated Lime,2.1,,6.0,,,,,,,,,,,,,761.978,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
52,52,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.0,Hydrated Lime,2.1,,6.0,,,,,,,,,,,,,884.389,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
53,53,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.5,Hydrated Lime,2.1,,6.0,,,,,,,,,,,,,1192.272,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
54,54,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.5,Hydrated Lime,2.1,,6.0,,,,,,,,,,,,,1458.409,365,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
55,55,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,2.0,Hydrated Lime,2.1,,6.0,,,,,,,,,,,,,789.799,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
56,56,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.0,Hydrated Lime,2.1,,9.0,,,,,,,,,,,,,1099.99,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
57,57,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.25,Hydrated Lime,2.1,,9.0,,,,,,,,,,,,,888.905,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
58,58,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,0.5,Hydrated Lime,2.1,,9.0,,,,,,,,,,,,,952.749,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
59,59,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.0,Hydrated Lime,2.1,,9.0,,,,,,,,,,,,,1217.945,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
60,60,Bentonite + Kaolin (B:K=25:75),1.0,46.0,53.0,2.73,94.5,35.0,59.5,1.89,CH,22.0,22.0,1570.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xhanthan Gum,,1.5,Hydrated Lime,2.1,,9.0,,,,,,,,,,,,,1384.696,28,0,,https://doi.org/10.1007/s40891-025-00640-z,10.1007/s40891-025-00640-z,S07
