column_name,dataset,description,unit,data_type,allowed_range_or_values,missing_value_rule,example_value
bio_ch,both,Indicator (0/1): presence of biopolymer/additive 'CH' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
bio_els,both,Indicator (0/1): presence of biopolymer/additive 'ELS' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
bio_gg,both,Indicator (0/1): presence of biopolymer/additive 'GG' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,1
bio_lg,both,Indicator (0/1): presence of biopolymer/additive 'LG' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
bio_sls,both,Indicator (0/1): presence of biopolymer/additive 'SLS' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
bio_xg,both,Indicator (0/1): presence of biopolymer/additive 'XG' in the mixture.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
cbr_condition,CBR,CBR condition standardized to 'soaked' or 'unsoaked' when possible.,-,text,soaked / unsoaked / other,Blank cell = not reported in source.,soaked
cbr_condition_raw,CBR,"CBR condition as reported (e.g., Soaked/Unsoaked).",-,text,,Blank cell = not reported in source.,soaked
cbr_penetration_mm,CBR,"CBR penetration depth at which value was taken (e.g., 2.5 or 5 mm), if reported.",mm,numeric,2.5 or 5 (typical),Blank cell = not reported in source.,2.5
cbr_qualifier,CBR,"Qualifier for CBR value if censored (e.g., '<' for '<1').",-,text,"<, >, or blank",Blank cell = not reported in source.,
cbr_value_pct,CBR,California Bearing Ratio (CBR).,%,numeric,≥0,Blank cell = not reported in source.,4.72
clay_pct,both,Clay fraction content.,%,numeric,0–100,Blank cell = not reported in source.,66
curing_days,both,Curing duration converted to days (numeric).,days,numeric,≥0,Blank cell = not reported in source.,4
curing_inferred,both,"Flag: 1 if curing_days inferred from text (e.g., 'after 96 h'); else 0.",binary,numeric,0 or 1,Blank cell = not reported in source.,0
curing_notes,both,Curing notes captured from text (if any).,-,text,,Blank cell = not reported in source.,after 96 h of the treatment
curing_raw,CBR,Curing description as reported (text or numeric).,-,text,,Blank cell = not reported in source.,after 96 h of the treatment
d50_um,both,Median particle size D50.,µm,numeric,>0,Blank cell = not reported in source.,360
ll_pct,both,Liquid limit (LL).,%,numeric,0–200 (typical),Blank cell = not reported in source.,22.8
mdd_treated_kgm3,both,Maximum dry density of treated mixture (if reported).,kg/m³,numeric,1000–2400 (typical),Blank cell = not reported in source.,1783
mdd_untreated_kgm3,both,Maximum dry density of untreated soil.,kg/m³,numeric,1000–2400 (typical),Blank cell = not reported in source.,1783
mixture_gs,both,Specific gravity of treated mixture solids (if reported).,-,numeric,,Blank cell = not reported in source.,2.7
mixture_rho_b_kgm3,CBR,Bulk density of treated mixture (if reported).,kg/m³,numeric,1000–2600 (typical),Blank cell = not reported in source.,
mixture_rho_b_kgm3_uncert,UCS,Reported uncertainty for mixture bulk density (parsed from brackets).,kg/m³,numeric,,Blank cell = not reported in source.,5.5
mixture_rho_b_kgm3_uncert_type,UCS,Text note describing uncertainty type for mixture bulk density.,-,text,,Blank cell = not reported in source.,reported (type not specified)
mixture_rho_b_kgm3_value,UCS,Bulk density of treated mixture (numeric value parsed from 'value[uncert]').,kg/m³,numeric,,Blank cell = not reported in source.,2159
mixture_rho_d_kgm3,CBR,Dry density of treated mixture (if reported).,kg/m³,numeric,1000–2400 (typical),Blank cell = not reported in source.,
mixture_rho_d_kgm3_uncert,UCS,Reported uncertainty for mixture dry density (parsed from brackets).,kg/m³,numeric,,Blank cell = not reported in source.,5.6
mixture_rho_d_kgm3_uncert_type,UCS,Text note describing uncertainty type for mixture dry density.,-,text,,Blank cell = not reported in source.,reported (type not specified)
mixture_rho_d_kgm3_value,UCS,Dry density of treated mixture (numeric value parsed from 'value[uncert]').,kg/m³,numeric,,Blank cell = not reported in source.,1933
mixture_w_pct,CBR,Water content of mixture (if reported).,%,numeric,0–80 (typical),Blank cell = not reported in source.,
mixture_w_pct_uncert,UCS,Reported uncertainty for mixture water content (parsed from brackets).,%,numeric,,Blank cell = not reported in source.,0.09
mixture_w_pct_uncert_type,UCS,Text note describing uncertainty type for mixture water content.,-,text,,Blank cell = not reported in source.,reported (type not specified)
mixture_w_pct_value,UCS,Water content of mixture (numeric value parsed from 'value[uncert]').,%,numeric,,Blank cell = not reported in source.,11.7
omc_treated_pct,both,Optimum moisture content of treated mixture (if reported).,%,numeric,0–60 (typical),Blank cell = not reported in source.,11.48
omc_untreated_pct,both,Untreated optimum moisture content (standardized to percent).,%,numeric,0–60 (typical),Blank cell = not reported in source.,11.48
omc_untreated_raw,UCS,Untreated optimum moisture content (raw value as in source; may be fraction or %).,fraction or %,text,,Blank cell = not reported in source.,12
orig_no,both,Original row/test number as stored in the source extraction spreadsheet.,-,numeric,,Blank cell = not reported in source.,1
palm_fiber_length_mm,both,Palm fiber length (if reported).,mm,numeric,,Blank cell = not reported in source.,5
pi_pct,both,Plasticity index (PI).,%,numeric,0–150 (typical),Blank cell = not reported in source.,25.8
pl_pct,both,Plastic limit (PL).,%,numeric,0–150 (typical),Blank cell = not reported in source.,10.7
qc_flag_omc_fraction_to_pct,UCS,QC flag: 1 if untreated OMC was converted from fraction to percent; else 0.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
qc_flag_swapped_mdd_omc,CBR,QC flag: 1 if treated OMC/MDD were swapped by heuristic; else 0.,binary,numeric,0 or 1,Blank cell = not reported in source.,0
record_id,both,Unique record identifier within each dataset sheet.,-,numeric,,Blank cell = not reported in source.,1
sand_pct,both,Sand fraction content.,%,numeric,0–100,Blank cell = not reported in source.,26
silt_pct,both,Silt fraction content.,%,numeric,0–100,Blank cell = not reported in source.,26
soil_gs,both,Specific gravity of soil solids (Gs).,-,numeric,2.0–3.2 (typical),Blank cell = not reported in source.,2.69
soil_location,both,Soil sampling location as reported by the source.,-,text,,Blank cell = not reported in source.,"Hoj Village, Papum Pare District, Arunachal Pradesh, India"
source_doi,both,Normalized DOI (or citation string if DOI unavailable) extracted from source_ref_raw.,-,text,,Blank cell = not reported in source.,10.1007/978-981-96-1373-1_21
source_ref_raw,both,Reference string as originally recorded (often a DOI URL).,-,text,,Blank cell = not reported in source.,https://doi.org/10.1007/978-981-96-1373-1_21
study_id,both,Study identifier (S01…); maps each record to a unique reference (DOI/citation) in StudyInventory.,-,text,S01…,Blank cell = not reported in source.,S01
ucs_kpa,UCS,Unconfined Compressive Strength (UCS).,kPa,numeric,">0 (typical range 0–20,000)",Blank cell = not reported in source.,1820
uscs_astm,both,"Soil classification (e.g., USCS/ASTM) as reported.",-,text,"e.g., CL, ML, CH, SM…",Blank cell = not reported in source.,CL
