universal_id,source_dataset,source_doi,domain_family,response_type,ucs_kpa,cbr_pct,cbr_condition,curing_days,soil_id,soil_class,soil_location,sand_pct,silt_pct,clay_pct,gravel_pct,ll_pct,pl_pct,pi_pct,specific_gravity,omc_pct,mdd_gcm3,water_content_pct,dry_density_gcm3,cement_pct,lime_pct,fly_ash_pct,ggbs_pct,rice_husk_ash_pct,pond_ash_pct,marble_powder_pct,harha_pct,fgd_gypsum_pct,biopolymer_pct,xanthan_gum_pct,guar_gum_pct,chitosan_pct,lignin_pct,fiber_pct,polypropylene_pct,jute_pct,waste_plastic_pct,sludge_pct,coconut_shell_pct,naoh_pct,na2sio3_pct,alkali_activator_pct,water_binder_ratio,compaction_rate_mm_min
UCDV1_01766,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/978-981-96-1373-1_21,biopolymer_multi_additive,CBR,,9.71,unsoaked,1.0,,,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",,,,,22.8,,,2.69,14.76,1.613,,,0.0,,,,,,,,,2.5,,,,,,,,,,,,,,,
UCDV1_01767,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,10.5,soaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01768,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,10.5,soaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01769,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,11.9,unsoaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01770,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,11.9,unsoaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01771,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,25.477,soaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01772,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,27.794,soaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01773,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,28.364,unsoaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01774,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,33.828,unsoaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01775,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,32.922,soaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.1,,,,,,,,,,,,,,,
UCDV1_01776,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,43.11,soaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.1,,,,,,,,,,,,,,,
UCDV1_01777,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,46.84,unsoaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.1,,,,,,,,,,,,,,,
UCDV1_01778,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,55.947,unsoaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.1,,,,,,,,,,,,,,,
UCDV1_01779,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,30.11,soaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.2,,,,,,,,,,,,,,,
UCDV1_01780,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,50.955,soaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.2,,,,,,,,,,,,,,,
UCDV1_01781,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,50.483,unsoaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.2,,,,,,,,,,,,,,,
UCDV1_01782,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,59.07,unsoaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.2,,,,,,,,,,,,,,,
UCDV1_01783,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,20.514,soaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.3,,,,,,,,,,,,,,,
UCDV1_01784,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,78.587,soaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.3,,,,,,,,,,,,,,,
UCDV1_01785,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,91.338,unsoaked,0.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.3,,,,,,,,,,,,,,,
UCDV1_01786,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s12517-022-09552-y,biopolymer_multi_additive,CBR,,122.304,unsoaked,7.0,,CL,"Hilltop area, Nsukka, Nigeria ",26.0,,,,36.5,10.7,25.8,2.65,,1.73,,,0.0,,,,,,,,,0.3,,,,,,,,,,,,,,,
UCDV1_01787,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,CBR,,4.5,unsoaked,,,CL,"The center of Afyonkarahisar, Turkey",,,,,48.6,23.0,,2.62,24.1,1.47,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01788,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,CBR,,4.3,soaked,4.0,,CL,"The center of Afyonkarahisar, Turkey",,,,,48.6,23.0,,2.62,24.1,1.47,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01789,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,CBR,,2.4,unsoaked,,,CL,"The center of Afyonkarahisar, Turkey",,,,,48.6,23.0,,2.62,22.3,1.57,,,0.0,,,,,,,,,5.0,,,,,,,,,,,,,,,
UCDV1_01790,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,CBR,,4.1,soaked,4.0,,CL,"The center of Afyonkarahisar, Turkey",,,,,48.6,23.0,,2.62,22.3,1.57,,,0.0,,,,,,,,,5.0,,,,,,,,,,,,,,,
UCDV1_01791,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,CBR,,2.55,unsoaked,,,CL,"The center of Afyonkarahisar, Turkey",,,,,48.6,23.0,,2.62,19.6,1.59,,,0.0,,,,,,,,,10.0,,,,,,,,,,,,,,,
UCDV1_01792,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,CBR,,4.6,soaked,4.0,,CL,"The center of Afyonkarahisar, Turkey",,,,,48.6,23.0,,2.62,19.6,1.59,,,0.0,,,,,,,,,10.0,,,,,,,,,,,,,,,
UCDV1_01793,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,CBR,,3.4,unsoaked,,,CL,"The center of Afyonkarahisar, Turkey",,,,,48.6,23.0,,2.62,16.1,1.63,,,0.0,,,,,,,,,15.0,,,,,,,,,,,,,,,
UCDV1_01794,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/app14177532,biopolymer_multi_additive,CBR,,6.3,soaked,4.0,,CL,"The center of Afyonkarahisar, Turkey",,,,,48.6,23.0,,2.62,16.1,1.63,,,0.0,,,,,,,,,15.0,,,,,,,,,,,,,,,
UCDV1_01795,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,5.2,,7.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,20.63,1.59,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01796,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,6.16,,14.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,20.63,1.59,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01797,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,7.313,,28.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,20.63,1.59,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01798,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,12.465,,7.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,21.98,1.65,,,0.0,,,,,,,,,12.0,,,,,,,,,,,,,,,
UCDV1_01799,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,14.756,,14.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,21.98,1.65,,,0.0,,,,,,,,,12.0,,,,,,,,,,,,,,,
UCDV1_01800,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,17.164,,28.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,21.98,1.65,,,0.0,,,,,,,,,12.0,,,,,,,,,,,,,,,
UCDV1_01801,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,20.958,,7.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,21.78,1.64,,,0.0,,,,,,,,,8.0,,,,,,,,,,,,,,,
UCDV1_01802,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,26.074,,14.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,21.78,1.64,,,0.0,,,,,,,,,8.0,,,,,,,,,,,,,,,
UCDV1_01803,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,29.08,,28.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,21.78,1.64,,,0.0,,,,,,,,,8.0,,,,,,,,,,,,,,,
UCDV1_01804,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,27.534,,7.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,19.73,1.62,,,0.0,,,,,,,,,4.0,,,,,,,,,,,,,,,
UCDV1_01805,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,34.383,,14.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,19.73,1.62,,,0.0,,,,,,,,,4.0,,,,,,,,,,,,,,,
UCDV1_01806,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,40.652,,28.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,19.73,1.62,,,0.0,,,,,,,,,4.0,,,,,,,,,,,,,,,
UCDV1_01807,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,35.616,,7.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,19.1,1.61,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01808,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,29.541,,14.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,19.1,1.61,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01809,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.3390/buildings15010038,biopolymer_multi_additive,CBR,,41.839,,28.0,,Silty Clay," Lianyungang City, Jiangsu Province, China",,,,,41.18,19.86,21.32,2.7,19.1,1.61,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01810,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,CBR,,22.4,,14.0,,CL,Kaolinite soil,8.0,26.0,66.0,,38.3,19.0,19.2,2.68,29.1,1.41,,,0.0,,,,,,,,,1.5,,,,,5.0,,,,,,,,,,
UCDV1_01811,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,CBR,,24.3,,14.0,,CL,Kaolinite soil,8.0,26.0,66.0,,38.3,19.0,19.2,2.68,29.1,1.41,,,0.0,,,,,,,,,1.5,,,,,10.0,,,,,,,,,,
UCDV1_01812,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,CBR,,26.7,,14.0,,CL,Kaolinite soil,8.0,26.0,66.0,,38.3,19.0,19.2,2.68,29.1,1.41,,,0.0,,,,,,,,,1.5,,,,,15.0,,,,,,,,,,
UCDV1_01813,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,CBR,,25.12,,14.0,,CL,Kaolinite soil,8.0,26.0,66.0,,38.3,19.0,19.2,2.68,29.8,1.39,,,0.0,,,,,,,,,1.5,,,,,5.0,,,,,,,,,,
UCDV1_01814,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,CBR,,27.14,,14.0,,CL,Kaolinite soil,8.0,26.0,66.0,,38.3,19.0,19.2,2.68,29.8,1.39,,,0.0,,,,,,,,,1.5,,,,,10.0,,,,,,,,,,
UCDV1_01815,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,CBR,,31.16,,14.0,,CL,Kaolinite soil,8.0,26.0,66.0,,38.3,19.0,19.2,2.68,29.8,1.39,,,0.0,,,,,,,,,1.5,,,,,15.0,,,,,,,,,,
UCDV1_01816,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,CBR,,26.11,,14.0,,CL,Kaolinite soil,8.0,26.0,66.0,,38.3,19.0,19.2,2.68,31.2,1.34,,,0.0,,,,,,,,,1.5,,,,,5.0,,,,,,,,,,
UCDV1_01817,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,CBR,,28.13,,14.0,,CL,Kaolinite soil,8.0,26.0,66.0,,38.3,19.0,19.2,2.68,31.2,1.34,,,0.0,,,,,,,,,1.5,,,,,10.0,,,,,,,,,,
UCDV1_01818,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s10064-024-04064-3,biopolymer_multi_additive,CBR,,30.12,,14.0,,CL,Kaolinite soil,8.0,26.0,66.0,,38.3,19.0,19.2,2.68,31.2,1.34,,,0.0,,,,,,,,,1.5,,,,,15.0,,,,,,,,,,
UCDV1_01819,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,1.0,soaked,1.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01820,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,1.0,soaked,1.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,16.31,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01821,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,1.0,soaked,1.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01822,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,25.0,unsoaked,1.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01823,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,26.0,unsoaked,1.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,16.31,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01824,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,17.0,unsoaked,1.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01825,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,2.0,soaked,7.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01826,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,1.0,soaked,7.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,16.31,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01827,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,1.0,soaked,7.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01828,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,24.0,unsoaked,7.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01829,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,28.0,unsoaked,7.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,16.31,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01830,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,19.0,unsoaked,7.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01831,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,1.0,soaked,28.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01832,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,1.0,soaked,28.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,16.31,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
UCDV1_01833,Zenodo_19242690_Biopolymer_UCS_CBR_2026,10.1007/s40515-015-0020-0,biopolymer_multi_additive,CBR,,1.0,soaked,28.0,,CH,"BC soil , North Karnataka, India",24.0,51.0,21.0,,64.0,31.0,33.0,2.5,,1.77,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,
